#  112 | steps: 27308 | steps_t: 13829 | t: 1293.362247 | r: -6940.000000 | e:   0.723420 | Q: 246.299072 | won: False
Red team starts
GAME IS OVER
#  113 | steps: 27528 | steps_t: 13994 | t: 1307.307693 | r: -5660.000000 | e:   0.720120 | Q: 214.269943 | won: False
Red team starts
GAME IS OVER
#  114 | steps: 27696 | steps_t: 14121 | t: 1316.373633 | r: -1180.000000 | e:   0.717580 | Q: 304.918701 | won: False
Blue team starts
GAME IS OVER
#  115 | steps: 27946 | steps_t: 14326 | t: 1331.832276 | r:  -620.000000 | e:   0.713480 | Q: 423.739655 | won: False
Red team starts
GAME IS OVER
#  116 | steps: 28166 | steps_t: 14490 | t: 1344.872697 | r: -6220.000000 | e:   0.710200 | Q: 239.334778 | won: False
Red team starts
GAME IS OVER
#  117 | steps: 28383 | steps_t: 14653 | t: 1356.829494 | r: -2990.000000 | e:   0.706940 | Q: 246.619247 | won: False
Red team starts
GAME IS OVER
#  118 | steps: 28602 | steps_t: 14821 | t: 1369.867881 | r: -2770.000000 | e:   0.703580 | Q: 262.347656 | won: False
Blue team starts
GAME IS OVER
#  119 | steps: 28903 | steps_t: 15080 | t: 1390.076148 | r:  2680.000000 | e:   0.698400 | Q: 366.008972 | won: True
Blue team starts
GAME IS OVER
#  120 | steps: 29166 | steps_t: 15298 | t: 1406.626285 | r:  -920.000000 | e:   0.694040 | Q: 322.619812 | won: False
Blue team starts
GAME IS OVER
#  121 | steps: 29385 | steps_t: 15466 | t: 1422.417178 | r: -2280.000000 | e:   0.690680 | Q: 280.390106 | won: False
Red team starts
GAME IS OVER
#  122 | steps: 29678 | steps_t: 15703 | t: 1443.090274 | r: -4470.000000 | e:   0.685940 | Q: 398.381256 | won: False
Blue team starts
GAME IS OVER
#  123 | steps: 29898 | steps_t: 15868 | t: 1456.588788 | r: -2660.000000 | e:   0.682640 | Q: 241.422531 | won: False
Red team starts
Model saved
GAME IS OVER
#  124 | steps: 30160 | steps_t: 16075 | t: 1473.654856 | r: -4100.000000 | e:   0.678500 | Q: 204.970551 | won: False
Red team starts
GAME IS OVER
#  125 | steps: 30461 | steps_t: 16334 | t: 1492.766115 | r:  2390.000000 | e:   0.673320 | Q: 408.527710 | won: True
Red team starts
GAME IS OVER
#  126 | steps: 30676 | steps_t: 16498 | t: 1505.669056 | r: -3580.000000 | e:   0.670040 | Q: 350.590729 | won: False
Red team starts
GAME IS OVER
#  127 | steps: 30977 | steps_t: 16757 | t: 1525.055457 | r:  1030.000000 | e:   0.664860 | Q: 443.609833 | won: True
Blue team starts
GAME IS OVER
#  128 | steps: 31278 | steps_t: 17007 | t: 1544.604158 | r: -3400.000000 | e:   0.659860 | Q: 375.715698 | won: True
Blue team starts
GAME IS OVER
#  129 | steps: 31579 | steps_t: 17263 | t: 1567.902403 | r:  1690.000000 | e:   0.654740 | Q: 415.612152 | won: True
Red team starts
GAME IS OVER
#  130 | steps: 31840 | steps_t: 17473 | t: 1587.056586 | r: -4060.000000 | e:   0.650540 | Q: 220.894363 | won: False
Red team starts
GAME IS OVER
#  131 | steps: 32135 | steps_t: 17718 | t: 1607.737876 | r: -6680.000000 | e:   0.645640 | Q: 374.913757 | won: False
Red team starts
GAME IS OVER
#  132 | steps: 32350 | steps_t: 17882 | t: 1620.727511 | r: -5740.000000 | e:   0.642360 | Q: 270.889465 | won: False
Blue team starts
GAME IS OVER
#  133 | steps: 32598 | steps_t: 18089 | t: 1636.879816 | r: -1460.000000 | e:   0.638220 | Q: 287.484772 | won: False
Red team starts
GAME IS OVER
#  134 | steps: 32818 | steps_t: 18253 | t: 1648.923858 | r: -5480.000000 | e:   0.634940 | Q: 279.819489 | won: False
Red team starts
GAME IS OVER
#  135 | steps: 33119 | steps_t: 18500 | t: 1668.054850 | r:  1720.000000 | e:   0.630000 | Q: 392.104980 | won: True
Red team starts
GAME IS OVER
#  136 | steps: 33420 | steps_t: 18750 | t: 1687.111097 | r:  2320.000000 | e:   0.625000 | Q: 346.597290 | won: True
Red team starts
GAME IS OVER
#  137 | steps: 33636 | steps_t: 18910 | t: 1700.603901 | r: -5120.000000 | e:   0.621800 | Q: 211.316788 | won: False
Red team starts
GAME IS OVER
#  138 | steps: 33806 | steps_t: 19038 | t: 1712.106103 | r: -1080.000000 | e:   0.619240 | Q: 148.528717 | won: False
Red team starts
GAME IS OVER
#  139 | steps: 34021 | steps_t: 19203 | t: 1723.977760 | r: -7580.000000 | e:   0.615940 | Q: 308.870087 | won: False
Blue team starts
GAME IS OVER
