Loading checkpoint...
Blue team baselineTeam with {'numTraining': 9}:
Loading Team: baselineTeam.py
Arguments: {'numTraining': 9}
Playing 9 training games
Red team starts
28577 17740.156
28578 18130.69
28579 24230.344
28580 61471.07
28581 73623.29
28582 16692.324
28583 20534.398
28584 16993.451
GAME IS OVER
28585 17470.621
#    6 | steps:  1111 | steps_t: 28585 | t: 66.037991 | r: -1770.000000 | e:   0.428300 | Q: -212.929443 | won: False
Red team starts
28586 13035.209
28587 26542.47
28588 603695.06
28589 51344.3
28590 24742.799
28591 61188.625
28592 18563.672
28593 657996.6
28594 612511.25
28595 21245.277
28596 21381.012
28597 11194.147
28598 32879.97
28599 636980.94
28600 13239.855
28601 9540.885
28602 28287.842
28603 30340.412
28604 51021.41
28605 617678.4
28606 622860.06
28607 14194.013
28608 23228.215
28609 21346.045
28610 8370.843
28611 30474.762
28612 621473.9
28613 623699.25
28614 6963.57
28615 7894.835
28616 608535.5
28617 41341.973
28618 619817.4
28619 51394.543
28620 60113.91
28621 638036.2
28622 12077.904
28623 17785.877
28624 637535.6
28625 30501.844
28626 672378.9
28627 622807.25
28628 40399.89
28629 24299.09
28630 23592.174
28631 15683.079
28632 27273.219
28633 1230209.2
28634 602081.25
28635 27190.049
28636 12599.942
28637 6051.7305
28638 6026.524
28639 620623.6
28640 586770.6
28641 22414.115
28642 624921.3
28643 634413.2
28644 51581.727
28645 18363.996
28646 7662.5303
28647 27250.059
28648 18445.553
28649 55320.375
28650 16472.818
28651 20753.732
28652 29125.469
28653 31010.316
28654 13682.232
28655 16589.559
28656 41098.98
28657 71474.11
28658 605345.06
28659 31822.902
28660 619142.25
28661 641508.25
28662 38915.953
28663 56675.016
28664 11139.355
28665 32027.23
28666 13651.977
28667 6787.042
28668 28588.225
28669 59662.47
28670 27863.451
28671 644675.2
28672 24227.297
28673 34836.984
28674 34256.18
28675 25250.818
28676 36575.57
28677 60807.75
28678 655630.25
28679 18628.441
28680 57374.918
28681 659704.56
28682 21526.54
28683 31254.752
28684 626159.3
28685 28047.184
28686 24934.977
28687 23022.543
28688 602687.3
28689 80487.92
28690 55201.695
28691 72118.34
28692 30912.434
28693 25804.285
28694 620855.06
28695 62653.625
28696 22823.926
28697 625098.7
28698 25027.738
28699 23911.543
28700 19689.07
28701 28975.83
28702 28800.008
28703 29510.25
28704 17739.318
28705 12995.161
28706 633299.4
28707 42548.066
28708 43049.36
28709 24066.465
28710 63755.867
28711 59443.76
28712 14313.553
28713 665823.2
28714 8089.302
28715 1237332.8
28716 11051.106
28717 91500.9
28718 32568.447
28719 31432.791
28720 47709.125
28721 19569.238
28722 27662.695
28723 12079.326
28724 69637.25
28725 28947.373
28726 24901.613
28727 23029.684
28728 1190425.4
28729 6438.393
28730 68270.21
28731 72096.984
28732 22373.564
28733 39853.215
28734 33985.684
28735 36837.25
28736 595147.6
28737 11474.134
28738 17172.32
28739 1184818.0
28740 622461.44
28741 7531.3584
28742 25351.625
28743 29117.137
28744 22658.404
28745 1248903.0
28746 13543.89
28747 29954.428
28748 599923.2
28749 636837.44
28750 48744.375
28751 79327.42
28752 1184857.0
28753 54571.082
28754 33082.86
28755 42422.047
28756 76638.66
28757 38267.73
28758 19343.123
28759 25800.34
28760 46373.055
28761 6517.543
28762 618064.1
28763 41566.375
28764 46765.695
28765 61782.29
28766 11791.463
28767 599891.3
28768 75490.39
28769 92381.375
28770 48146.207
28771 12740.825
28772 38261.58
28773 38816.965
28774 624522.94
28775 46758.844
28776 29706.102
28777 578386.06
28778 620771.1
28779 27239.914
28780 26235.021
28781 32404.193
28782 21094.656
28783 15878.148
28784 20808.168
28785 20677.883
28786 584191.9
28787 18168.06
28788 68106.56
28789 616063.1
28790 598838.94
28791 19936.547
28792 28236.262
28793 20098.648
28794 15425.847
28795 17763.064
28796 25109.625
28797 21446.834
28798 13973.397
28799 27203.613
28800 587065.56
28801 36597.88
28802 36043.03
28803 22071.75
28804 14012.373
28805 582369.75
28806 597595.75
28807 21392.736
28808 1194328.9
28809 590858.2
28810 42346.53
28811 27069.277
28812 48532.68
28813 621631.7
28814 17952.785
28815 23088.266
28816 22097.055
28817 589464.1
28818 52548.566
28819 26656.162
28820 40361.746
28821 12589.525
28822 15159.595
28823 30878.926
28824 10288.891
28825 30729.947
28826 30621.004
GAME IS OVER
28827 32768.36
#    7 | steps:  1404 | steps_t: 28827 | t: 87.246144 | r: -6820.000000 | e:   0.423460 | Q: -216.701492 | won: False
Blue team starts
28828 29870.473
28829 627808.7
28830 21775.451
28831 17351.062
28832 104521.88
28833 20237.707
28834 32460.883
28835 26693.73
28836 14777.578
28837 14063.7295
28838 606052.9
28839 24968.246
28840 28401.676
28841 27762.84
28842 600575.9
28843 48102.477
28844 631027.4
28845 32468.865
28846 29693.61
28847 36881.54
28848 613173.0
28849 74478.15
28850 27251.402
28851 18483.605
28852 20970.055
28853 29628.488
28854 70414.71
28855 26553.55
28856 20182.805
28857 28592.877
28858 25195.297
28859 18874.098
28860 60715.195
28861 583670.8
28862 34607.37
28863 44585.586
28864 21174.94
28865 23171.771
28866 8572.552
28867 55883.246
28868 30306.57
28869 11402.173
28870 7796.761
28871 49778.93
28872 53978.51
28873 35445.84
28874 50875.97
28875 30092.34
28876 68208.78
28877 19894.639
28878 28209.27
28879 57551.473
28880 22602.623
28881 18720.916
28882 9127.919
28883 27419.727
28884 40043.145
28885 41420.42
28886 44683.758
28887 34942.383
28888 15520.1
28889 34932.945
28890 39305.445
28891 19620.941
28892 16550.406
28893 80152.016
28894 19136.893
28895 608099.44
28896 26175.637
28897 12659.49
28898 62394.023
28899 39347.45
28900 25584.191
28901 44066.348
28902 8409.164
28903 33295.62
28904 25322.459
28905 31474.016
28906 30836.176
28907 595481.6
28908 13797.949
28909 15038.016
28910 34815.85
28911 50473.707
28912 18347.852
28913 574234.1
28914 20373.057
28915 663818.8
28916 587307.1
28917 47345.125
28918 32234.223
28919 25487.555
28920 54923.133
28921 22345.207
28922 28425.602
28923 52801.344
28924 24776.16
28925 18019.984
28926 26191.379
28927 26798.121
28928 594909.7
28929 15397.377
28930 614232.25
